State,Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or More Races
United States,288368698,232646166,36745974,2752158,11559022,484314,4181064
Alabama,4486508,3206224,1181698,22840,36486,1733,37527
Alaska,643786,457047,24105,100494,26855,3613,31672
Arizona,5456453,4790117,180659,286680,110541,9656,78800
Arkansas,2710079,2200990,434579,18477,23559,2191,30283
California,35116033,27263239,2435921,410501,4060600,142691,803081
Colorado,4506542,4071785,186605,51182,111826,6298,78846
Connecticut,3460503,2959926,346397,11275,97350,2438,43117
Delaware,807385,617680,156942,3087,19690,412,9574
Washington DC,570898,202239,341852,2062,17484,467,6794
Florida,16713149,13502040,2633683,66138,315569,12422,183297
Georgia,8560310,5782168,2462419,25991,201226,6117,82389
Hawaii,1244898,327249,27674,3863,538818,110098,237196
Idaho,1341131,1280333,7093,19268,14044,1688,18705
Illinois,12600620,10025164,1920014,38815,481424,7915,127288
Indiana,6159068,5481336,525151,17249,69776,2747,62809
Iowa,2936760,2789000,65312,10058,44486,1390,26514
Kansas,2715884,2427957,161052,26085,54719,1874,44197
Kentucky,4092891,3703170,306118,9437,35182,1874,37110
Louisiana,4482646,2884468,1473150,26073,62029,1609,35317
Maine,1294464,1256973,7812,7291,10605,467,11316
Maryland,5458137,3587707,1536785,17379,239830,3085,73351
Massachusetts,6427801,5626212,428263,18354,273019,5096,76857
Michigan,10050446,8196618,1442625,60105,206197,3558,141343
Minnesota,5019720,4539575,190029,57340,158940,2553,71283
Mississippi,2871782,1762785,1057123,12431,21615,856,16972
Missouri,5672579,4850303,650856,25953,71883,3808,69776
Montana,909453,827903,3377,58048,5383,559,14183
Nebraska,1729180,1594647,72079,16280,26431,1176,18567
Nevada,2173491,1830195,149908,31281,102534,9848,49725
New Hampshire,1275056,1229961,11298,3213,18864,480,11240
New Jersey,8590300,6667293,1249045,25741,544139,6246,97836
New Mexico,1855059,1577817,41333,183972,23322,2326,26289
New York,19157532,14161142,3408528,103337,1206600,17657,260268
North Carolina,8320146,6178210,1817634,106454,135006,5485,77357
North Dakota,634110,587085,4931,31104,4401,278,6311
Ohio,11421267,9769002,1331310,25870,157417,3570,134098
Oklahoma,3493714,2744090,271763,278124,54721,3042,141974
Oregon,3521515,3204971,61836,48341,115455,9544,81368
Pennsylvania,12335091,10678879,1273637,20900,251874,4841,104960
Rhode Island,1069725,957030,62506,6105,28096,1250,14738
South Carolina,4107183,2787151,1228173,15069,42795,2171,31824
South Dakota,761063,676544,5892,63390,5422,319,9496
Tennessee,5797289,4694327,964709,16576,66729,2834,52114
Texas,21779893,18216487,2527946,145954,648519,22819,218168
Utah,2316256,2168114,21574,32886,42144,18012,33526
Vermont,616592,597699,3634,2492,6095,170,6502
Virginia,7293542,5403615,1458697,23778,297661,5096,104695
Washington,6068996,5202229,209823,99446,356026,26937,174535
West Virginia,1801873,1713753,58909,3686,11173,486,13866
Wisconsin,5441196,4912827,319026,50042,101174,2141,55986
Wyoming,498703,472890,4489,11641,3288,371,6024
